#separator:tab
#html:true
#columns:NoteID	Front	Back	Tags
2022S_FE_AM_78	<img src="Pasted image 20241022183221.png"><br><img src="Pasted image 20241022183229.png">	d)<br><br>i will work on this ##soon (or someone help discuss if its ok)	math business-administration philnits 2022S_FE_AM_78
2018A_FE_1	<img src="Pasted image 20241021114415.png">	b) \((p \cup q) \cap \bar{(p \cap q)}\)<br><br>## XOR<br><br>An XOR basically means only 1 choice can be true, which is equivalent to "p OR q, but not p AND q".	digital-logic philnits 2018 2018A_FE_1
2018A_FE_2	Among the bit strings of length 4, how many of them either start with 1 or end with 00?<br><br>a) 4<br>b) 8<br>c) 10<br>d) 12	c) 10<br><br>## List all Bit Strings of Length 4 & Classify Them<br><br>> [!tip] Let's check all of the ones start either start with `1` or end with `00`.<br><br>- 0000 ✅<br>- 0001<br>- 0010<br>- 0011<br>- 0100 ✅<br>- 0101<br>- 0110<br>- 0111<br>- 1000 ✅<br>- 1001 ✅<br>- 1010 ✅<br>- 1011 ✅<br>- 1100 ✅<br>- 1101 ✅<br>- 1110 ✅<br>- 1111 ✅<br><br>There are 10 in total, so our answer is **c) 10**.	number-systems philnits 2018 2018A_FE_2
2018A_FE_3	A factory manufactures the same products in two production lines A and B, where 60% of the products are manufactured in A, and the remaining in B. Defective rates of the products manufactured in A and B are 2% and 1%, respectively. When a product was randomly chosen for inspection, it was found to be defective. What is the percent probability that the product was manufactured in A?<br><br>a) 40<br>b) 50<br>c) 60<br>d) 75	d) 75<br>## Analyze the Problem<br><br>### Given<br><br>So when we get a random product, there is a \(\frac{3}{5}\) chance it came from A and a \(\frac{2}{5}\) chance it came from B.<br><br>Then, we also need to account for the defect rate of A and B which are \(\frac{1}{50}\) and \(\frac{1}{100}\), respectively.<br><br>### Asked<br><br>It's asking for the percent probability that a randomly selected defective product was from A.<br><br>### Solution<br><br>We can use Bayes' Theorem to solve this.<br><br>The formula for Bayes' Theorem is:<br><br>\(P(A|D) = \frac{P(D|A) \cdot P(A)}{P(D)}\)<br><br>Where:<br><br>- \(P(A|D)\) is the probability that the product was made in line A given that it's defective.<br>- \(P(D|A)\) is the probability that the product is defective given that it was made in line A.<br>- \(P(A)\) is the probability that the product was made in line A.<br>- \(P(D)\) is the total probability that the product is defective.<br><br>Now, we calculate \(P(D)\), the total probability of a defective product:<br><br>\(P(D) = P(D|A) \cdot P(A) + P(D|B) \cdot P(B)\)<br><br>Substitute the values:<br><br>\(P(D) = (0.02 \cdot 0.60) + (0.01 \cdot 0.40) = 0.012 + 0.004 = 0.016\)<br><br>Next, we apply Bayes' Theorem:<br><br>\(P(A|D) = \frac{P(D|A) \cdot P(A)}{P(D)}\)<br><br>Substituting the values:<br><br>\(P(A|D) = \frac{0.02 \cdot 0.60}{0.016} = \frac{0.012}{0.016} = 0.75\)<br><br>Thus, the probability that the defective product was made in line A is \(0.75\) or 75%.	probability philnits 2018 2018A_FE_3
2018A_FE_4	Which of the following is the computational complexity of the Heapsort algorithm? Here, n is the number of elements to be sorted. All comparisons, swaps, and other needed operations can proceed in constant time.<br><br>a) O (log n)<br>b) O (n)<br>c) O (n2 )<br>d) O (n log n)	d) O (n log n)<br><br>## Heapsort<br><br>Heapsort uses a min/max heap tree as its underlying data structure, so we know that it will include `log n` in its Time Complexity.<br><br>We also know that the best comparison-based sorting algorithm (comparing the size of two elements) has `n log n`, so `O(log n)` is impossible.<br><br>Therefore, by process of elimination, our answer must be **d) O (n log n)**.	algorithms philnits 2018 2018A_FE_4
2018A_FE_5	<img src="Pasted image 20241021121047.png">	d) ABCDEF<br><br>## Analyzing the Choices<br><br>### a) 456789<br><br>This cannot be possible because our regex expression requires `[A-Z]+`, meaning "one or more character from the range A-Z".<br><br>### b) ABC+99<br><br>This cannot be because we do not match for `+` characters. If we wanted to match for `+`, we need to escape it in the regular expression like `\+`.<br><br>### c) ABC99*<br><br>The same reasoning applied to b) works here, we should see a `\*` at the end if we want to match `*` characters.<br><br>### d) ABCDEF<br><br>This is correct because we can have zero or more numbers thanks to the `*` modifier for the `[0-9]` character range.	algorithms philnits 2018 2018A_FE_5
2018A_FE_6	Data A, B, C and D are entered as an input sequence. Which of the following is a<br>possible output sequence by only using a single stack?<br><br>a) A, D, B, C<br>b) B, D, A, C<br>c) C, B, D, A<br>d) D, C, A, B	c) C, B, D, A<br><br>## Analyzing the Problem<br><br>Since we only have a single stack, we can only push into it using the input sequence, or pop from it to create the output sequence.<br><br>## Why it's C) C, B, D, A<br><br>Let's say our stack is an empty array right now `{}`, where the last index indicates the top of the stack.<br><br>We push A, B, and C into the stack first.<br>- `{ A, B, C }`<br><br>Then if we want to achieve our pattern in C, we can pop C and B right now.<br>- `{ A }` and our output is `{ C, B }`<br><br>Then we can insert the last element in our input sequence.<br><br>- `{ A, D }`<br><br>Then we can pop all the characters into the output seqeunce.<br><br>- `{}` and the output is `{ C, B, D, A }`.<br><br>Therefore, the correct answer is **c) C, B, D, A**.	data-structures philnits 2018 2018A_FE_6
2018A_FE_7	<img src="Pasted image 20241021123453.png">	b) 3<br><br>## Analyzing the Formula<br><br>It's basically saying, the output of the function will be `x` if `y = 0`, otherwise do `y % (x % y)` if `y > 0`.<br><br>In our case, we will follow the second path, so we find `y % (x % y)`.<br><br>- \(x \space\%\space y = 231\space \% \space15 = 6\)<br>- Then we do \(15 \space\%\space 6 = 3\)<br><br>Therefore, our answer is **b) 3**.	algorithms philnits 2018 2018A_FE_7
2018A_FE_8	Q8. Which of the following is an explanation of a recursive call?<br><br>a) To allow a function to use itself from within its body<br>b) To execute processes in an event-driven way rather than in a predetermined order<br>c) To keep a function in memory after its execution in order to reuse<br>d) To undo an execution of process when it fails	a) To allow a function to use itself from within its body<br><br>```py<br>def recur_fibo(n):<br>   if n <= 1:<br>       return n<br>   else:<br>       return(recur_fibo(n-1) + recur_fibo(n-2))<br>```	algorithms philnits 2018 2018A_FE_8
2018A_FE_9	In a web environment, which of the following is the name of a program that runs on a web server and achieves dynamic processing?<br><br>a) Java applet<br>b) Java servlet<br>c) JavaScript<br>d) VBScript	b) Java servlet<br><br>## Choices<br>### a) **Java Applet**:<br><br>- **Description**: A **Java Applet** is a small application that used to run in the context of a web browser. It is written in Java and embedded into a webpage using the `<applet>` tag.<br>- **Context**: Applets run on the **client side** (inside the browser), not on the server. They require a Java plugin to be installed in the user’s browser.<br>- **Current Status**: Java applets are largely obsolete and no longer supported by modern browsers due to security concerns.<br><br>### b) **Java Servlet** (Correct Answer):<br><br>- **Description**: A **Java Servlet** is a Java program that runs on the **server** side. It is used to handle requests from web clients (such as browsers), process the request, and generate a dynamic response, typically in the form of HTML, XML, JSON, etc.<br>- **Context**: Servlets are used in a **server environment** to handle dynamic web processing, making them an essential part of server-side Java web development frameworks like Java EE (Jakarta EE).<br><br>### c) **JavaScript**:<br><br>- **Description**: **JavaScript** is a programming language primarily used to create interactive and dynamic content on websites. It runs in the browser (on the **client side**).<br>- **Context**: JavaScript enables dynamic behavior on web pages, like form validation, animations, and DOM manipulation, but it does not run on the web server.<br><br>### d) **VBScript**:<br><br>- **Description**: **VBScript** (Visual Basic Scripting Edition) is a scripting language developed by Microsoft. It is primarily used for client-side scripting in Internet Explorer (now obsolete) and also for automation in Windows environments.<br>- **Context**: Similar to JavaScript, VBScript runs on the **client side** in the browser, not on the web server. It is also outdated and only supported by Internet Explorer.<br><br>### Summary:<br><br>- A **Java Servlet** runs on the **server** and processes dynamic web content, which fits the description of the correct answer.<br>- The other options (Java Applet, JavaScript, and VBScript) run on the **client side** and are not used for server-side dynamic processing.	web-technologies philnits 2018 2018A_FE_9
2018A_FE_10	Which of the following is a special purpose register that stores the result of a comparison<br>or the sign of the result of an arithmetic operation?<br><br>a) Accumulator<br>b) Flags register<br>c) Instruction register<br>d) Program counter	b) Flags register<br><br>## Choices<br>### a) **Accumulator**:<br><br>- **Description**: The **accumulator** is a general-purpose register used in the arithmetic logic unit (ALU) of a CPU to store intermediate results during arithmetic and logic operations. It holds operands and results of operations temporarily.<br>- **Context**: While it stores the results of operations, it does not specifically store the outcome of a comparison or information like the sign or zero status. That is the role of the **flags register**.<br><br>### b) **Flags Register** (Correct Answer):<br><br>- **Description**: The **flags register** (also called the **status register** or **condition code register**) is a special-purpose register in the CPU that stores information about the outcome of arithmetic or logical operations. It holds **flags** (bits) that represent conditions like:<br>    - **Zero flag** (Z): Set if the result of an operation is zero.<br>    - **Sign flag** (S): Set if the result of an operation is negative.<br>    - **Carry flag** (C): Set if there’s a carry out (in addition) or borrow (in subtraction).<br>    - **Overflow flag** (O): Set if an arithmetic overflow occurs.<br>- **Context**: These flags are crucial in making decisions during conditional operations (e.g., branching, conditional jumps).<br><br>### c) **Instruction Register**:<br><br>- **Description**: The **instruction register** (IR) is a register that holds the instruction currently being executed by the CPU. It temporarily stores the instruction fetched from memory before it is decoded and executed.<br>- **Context**: It doesn’t store the result of a comparison or information like the sign of an arithmetic operation.<br><br>### d) **Program Counter**:<br><br>- **Description**: The **program counter** (PC) is a register that holds the address of the next instruction to be executed by the CPU. It increments automatically after each instruction is executed unless a control transfer (e.g., a jump) occurs.<br>- **Context**: It tracks the instruction sequence and doesn't store comparison results or arithmetic operation outcomes.	operating-systems philnits 2018 2018A_FE_10
2018A_FE_11	<img src="Pasted image 20241021130232.png">	c) Indirect Addressing<br><br>## Choices<br><br>### a) **Direct Addressing**:<br><br>- **Explanation**: In **direct addressing**, the address field in the instruction directly refers to the memory location where the data is stored.<br>- **Example**: If the address field is 20, the instruction would directly access memory location 20 to retrieve the data.<br>- **Is this the answer?**: No, because in the figure, the address field points to location 20, but this does **not** contain the actual data. Instead, it contains a pointer to another address (25), where the data is found.<br><br>### b) **Indexed Addressing**:<br><br>- **Explanation**: In **indexed addressing**, the address of the operand is determined by adding a constant value (index) to the contents of an index register. This is often used for accessing elements in an array.<br>- **Example**: If the base address is 20 and the index is 5, the effective address would be 25.<br>- **Is this the answer?**: No, there is no indication of an index being added in this diagram. The address 25 is directly given by the value in memory location 20.<br><br>### c) **Indirect Addressing**:<br><br>- **Explanation**: In **indirect addressing**, the address field of the instruction refers to a memory location (like 20), which does not contain the actual data but rather the address (like 25) where the data is stored. This is a form of **pointer-based addressing**.<br>- **Is this the answer?**: **Yes**, this is exactly what the diagram shows. The instruction points to address 20, which contains the address 25, and 25 holds the actual data.<br><br>### d) **Relative Addressing**:<br><br>- **Explanation**: In **relative addressing**, the address of the operand is determined by adding a constant value (offset) to the current value of the program counter (PC).<br>- **Example**: If the program counter is at address 100 and the instruction has a relative offset of 20, the effective address would be 120.<br>- **Is this the answer?**: No, the diagram does not show any relation to the program counter or an offset. The address 25 is reached through indirect addressing.<br><br>### **Conclusion**:<br><br>The correct answer is **c) Indirect addressing**, because the instruction points to a memory location (20), which contains another memory address (25) where the actual data is located.	operating-systems philnits 2018 2018A_FE_11
2018A_FE_12	<img src="Pasted image 20241021130912.png">	c) 20<br><br>## Solution<br><br>To determine the minimum number of signal lines required for the address bus, we need to calculate the total number of possible memory addresses.<br><br>**1. Calculate the total number of bytes in the memory:**<br><br>- 1 megabyte = 1,024 kilobytes<br>- 1 kilobyte = 1,024 bytes<br>- So, 1 megabyte = 1,024 * 1,024 bytes = 1,048,576 bytes<br><br>**2. Determine the number of bits needed to represent this number of addresses:**<br><br>- We need to find the smallest integer n such that 2^n >= 1,048,576.<br>- By trial and error, we find that 2^20 = 1,048,576.<br><br>**3. The number of bits equals the number of signal lines:**<br><br>- Therefore, the minimum number of signal lines required for the address bus is **20**.<br><br>**So, the correct answer is (c) 20.**	operating-systems philnits 2018 2018A_FE_12
2018A_FE_13	Which of the following is an appropriate explanation of USB 3.0?<br><br>a) It uses a serial interface that has a 5 Gbps data transfer mode called super speed.<br>b) It uses a serial interface that has both an isochronous transfer mode suitable for voice,<br>video, and other data, and a broadcast transfer mode.<br>c) It uses an interface that transmits 2 bits of information in one (1) clock cycle with four<br>(4) pairs of signal lines, and has a maximum throughput of 1 Gbps.<br>d) It uses the serial version of ATA interface that is standardized for the connection of a PC<br>to peripheral devices.	a) It uses a serial interface that has a 5 Gbps data transfer mode called super speed.<br><br>### USB 3.0 Features:<br><br>> [!info] USB 3.0 is also referred as **SuperSpeed USB**.<br><br>- **Serial Interface**: USB 3.0 uses a serial communication protocol, meaning data is transmitted one bit at a time over a single channel.<br>- **5 Gbps Transfer Rate**: USB 3.0 introduced a data transfer rate of **5 Gbps** (gigabits per second), which is much faster than its predecessor, USB 2.0 (which has a maximum speed of 480 Mbps).<br>- **SuperSpeed Mode**: USB 3.0's higher transfer rate is called **SuperSpeed**, which allows for faster data transfer between devices.<br><br>### Why the other options are incorrect:<br><br>> [!tip] **Isochronous** means **timely and regular delivery** of data.<br>> Imagine you’re trying to watch a live video or listen to music on a phone. If the data (like video or sound) isn’t sent to you fast enough or with enough regularity, the video might freeze or the sound might skip.<br><br>- **b) It uses a serial interface that has both an isochronous transfer mode suitable for voice, video, and other data, and a broadcast transfer mode.**<br>    - This is a mix-up of concepts. USB does support isochronous transfers (useful for real-time data like video/audio), but **it does not support broadcast transfer mode**. Also, this option does not accurately describe USB 3.0’s features.<br>- **c) It uses an interface that transmits 2 bits of information in one (1) clock cycle with four (4) pairs of signal lines, and has a maximum throughput of 1 Gbps.**<br>    - This is not correct. USB 3.0 **transmits data serially** (not in parallel), and it has a data transfer rate of 5 Gbps, not 1 Gbps.<br>- **d) It uses the serial version of the ATA interface that is standardized for the connection of a PC to peripheral devices.**<br>    - This refers to **SATA** (Serial Advanced Technology Attachment), not USB. SATA is used for connecting storage devices like hard drives or SSDs, not USB peripheral devices.	hardware philnits 2018 2018A_FE_13
2018A_FE_14	Which of the following is an appropriate description of the effect of cache memory?<br><br>a) By reading data from main memory and storing it in cache memory, and then processing<br>instructions in parallel in cache memory, operations are performed at high speed.<br>b) By reading data from main memory and storing it in cache memory, data transfer is<br>performed at high speed when the CPU reads the same data later.<br>c) By reading instructions and data simultaneously from main memory to cache memory,<br>data transfer is performed at high speed.<br>d) By reading instructions from main memory and storing them in cache memory, and then<br>decoding and executing them in cache memory, operations are performed at high speed.	b) By reading data from main memory and storing it in cache memory, data transfer is<br>performed at high speed when the CPU reads the same data later.<br><br>## Caching<br><br>> [!info] In computing, a cache is **a high-speed data storage layer which stores a subset of data, typically transient in nature, so that future requests for that data are served up faster** than is possible by accessing the data’s primary storage location.<br><br>It's like when you open a web browser for the first time, it's kind of slow, but if set up correctly, the HTML, JS, and CSS code can be "cached" by your browser and saved to be fetched from your phone instead of the internet - making subsequent requests to the website much faster.	operating-systems philnits 2018 2018A_FE_14
2018A_FE_15	Which of the following is an appropriate explanation of a benchmark test?<br><br>a) It evaluates the performance by analyzing the system processing theoretically and<br>estimating the processing time from the number of occurrences and predicted number of<br>executions of individual instructions, rather than actually executing a program.<br>b) It evaluates the system performance by using a program in which a model is created and<br>simulated for the purpose of evaluation with the inclusion of future estimates.<br>c) It executes a standard program selected in accordance with the usage purpose, and<br>measures the system’s processing performance.<br>d) It measures the operating condition of a system and the status of resources using a<br>program for monitoring and measuring, and obtains data on the system configuration<br>and response performance.	c) It executes a standard program selected in accordance with the usage purpose, and<br>measures the system’s processing performance.<br><br>## Benchmarking<br><br>> [!info] To benchmark is to "evaluate or check (something) by comparison with a standard."<br>> We can then use the results of the standardized test with other devices on the same configuration to make judgements based on their performances.<br><br>**Benchmarking** involves running a standardized program or set of tasks on a system to **measure its performance**. By executing these standard tasks, benchmarks allow us to compare how well different systems (or configurations) perform under similar conditions. This provides **objective** and **repeatable results** that can be used to evaluate the system’s overall speed, efficiency, or other characteristics.<br><br>The correct answer is:<br><br>**c) It executes a standard program selected in accordance with the usage purpose, and measures the system’s processing performance.**<br><br>### Why the other options are incorrect:<br><br>- **a) It evaluates the performance by analyzing the system processing theoretically and estimating the processing time from the number of occurrences and predicted number of executions of individual instructions, rather than actually executing a program.**<br><br>    - This option refers to **theoretical estimation** or **analytical methods** rather than running a real test. While useful in some contexts, **benchmarking** typically involves actual execution of programs, not just theory.<br>- **b) It evaluates the system performance by using a program in which a model is created and simulated for the purpose of evaluation with the inclusion of future estimates.**<br><br>    - This is more of a **simulation-based evaluation** rather than standard benchmarking. Benchmarks focus on executing real programs, not just creating models or simulations.<br>- **d) It measures the operating condition of a system and the status of resources using a program for monitoring and measuring, and obtains data on the system configuration and response performance.**<br><br>    - This option describes a more general **system monitoring** process, which focuses on collecting data about the system’s state rather than specifically measuring **performance** with standardized benchmarks.	systems-architecture philnits 2018 2018A_FE_15
2018A_FE_31	As an example of the use of big data, which of the following is a process that uses statistical or other methods to obtain new knowledge (such as trends and patterns) from a large amount of data?<br><br>a) Data dictionary<br>b) Data mining<br>c) Data warehouse<br>d) Metadata	b) Data mining<br><br><br>## Choices<br>### a) Data Dictionary<br><br>A **data dictionary** is a centralized repository that provides information about data, including its meaning, relationships to other data, origin, usage, and format. It’s more about defining data structures and ensuring consistency in data usage but does not involve analysis or the discovery of new knowledge from the data.<br><br>### b) Data Mining<br><br>**Data mining** is the process that uses statistical, mathematical, and artificial intelligence methods to analyze large datasets and extract new knowledge, such as patterns, trends, and correlations. It’s a key aspect of big data analytics that helps in making data-driven decisions and discovering insights from massive amounts of data.<br><br>### c) Data Warehouse<br><br>A **data warehouse** is a large, centralized repository where data is stored from multiple sources. It is typically used for reporting and analysis. The data in a warehouse is structured and organized for querying and analysis but does not directly provide new insights on its own; it supports data mining and other analytical processes.<br><br>### d) Metadata<br><br>**Metadata** refers to "data about data." It provides information such as when the data was created, by whom, its format, and other details that help in understanding and organizing data. Metadata doesn’t involve any discovery of new insights or patterns but is important for managing and using data efficiently.<br><br>### Summary<br><br>- **Data dictionary** and **metadata** are about organizing and defining data.<br>- **Data warehouse** is for storing and managing large datasets.<br>- **Data mining** is the process that actively extracts new knowledge, making it the right answer for your question.	statistics philnits 2018 2018A_FE_31
2018A_FE_32	Which of the following is the most appropriate information for a router to determine the destination of an incoming packet?<br><br>a) Destination IP address<br>b) Destination MAC address<br>c) Source IP address<br>d) Source MAC address	a) Destination IP address<br><br>## Mental Framework<br><br>Routers work in the 3rd layer of the OSI Model (Network Layer), so they deal with IP Addresses, hence a) is our answer.<br><br>MAC Addresses, on the other hand, are for the 2nd layer (Data Link layer).	networking philnits 2018 2018A_FE_32
